Tourist_Spot,Address,Zipcode,latitude,longitude
47th Street - The Diamond District,"47th St. betw. Fifth & Sixth Aves. Manhattan, NY 10036, Midtown West",10036,40.7602619,-73.9932872
9/11 Memorial & Museum,"World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan",10007,40.7136487,-74.0087126
Abyssinian Baptist Church,"132 Odell Clark Place New York, NY 10030, Harlem",10030,40.8173411,-73.9433299
Alice Austen House Museum,"2 Hylan Blvd. Staten Island, NY 10305, Staten Island",10305,40.5944059,-74.0711359
Alice Tully Hall,"1941 Broadway Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Alvin Ailey American Dance Theate,"405 W. 55th St. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
American Girl Place,"609 Fifth Ave. Manhattan, NY 10017, Midtown East",10017,40.7519846,-73.9697795
American Museum of Natural History,"Central Park West at 79th St. Manhattan, NY 10024, Upper West Side",10024,40.7859464,-73.97418739999999
Apollo Theater,"253 W. 125th St.  Manhattan, NY 10027, Harlem",10027,40.8138912,-73.96243270000001
arts>Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,40.7146,-74.015
Barclays Center,"620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,40.6815619,-73.9785952
Bartow-Pell Mansion Museum,"895 Shore Rd. Bronx, NY 10464, Pelham Bay",10464,40.864318,-73.7977928
Bateaux New York,"Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,40.7464969,-74.0094471
Bronx Brewery,"856 East 136th Street NY 10454, South Bronx",10454,40.8022594,-73.9154069
Bronx Library Center,"310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham",10458,40.8621792,-73.88601
Bronx Zoo,"2300 Southern Blvd. Bronx, NY 10460, Fordham",10460,40.841618,-73.8801301
Brooklyn Botanic Garden,"1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights",11225,40.6648278,-73.9565551
Brooklyn Bridge,"Tillary St Brooklyn, NY 11201,Downtown Brooklyn",11201,40.6986772,-73.9859414
Brooklyn Heights Promenade,"Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights",11201,40.6986772,-73.9859414
Brooklyn Historical Society,"128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights",11201,40.6986772,-73.9859414
Brooklyn Navy Yard,"63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard",11205,40.6945036,-73.9565551
Brooklyn Nets,"The Barclays Center, 620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,40.6815619,-73.9785952
Brooklyn Public Library,"Grand Army Plaza at Flatbush Ave Brooklyn, NY 11238, Park Slope",11238,40.6805029,-73.96243270000001
Calvary Cemetery,"49-02 Laurel Hill Blvd. Queens, NY 11377, Woodside",11377,40.74133339999999,-73.90364869999999
Carnegie Hall,"57th St. and Seventh Ave. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
Cathedral Church of St. John the Divine,"1047 Amsterdam Ave. Manhattan, NY 10025, Morningside Heights",10025,40.7999209,-73.96831019999999
Central Park Conservancy—Official Central Park Tours,"14 E. 60th St., 8th fl. New York, NY 10022, Upper East Side",10022,40.7593941,-73.9697795
Charles A. Dana Discovery Center/Harlem Meer,"106th to 110th Sts on the east side of the park Manhattan, NY 10029, Central Park",10029,40.79164069999999,-73.9447994
Chelsea Craft Brewing Company,"463 East 173rd Street NY 10457, The Bronx",10457,40.84413869999999,-73.8977693
Chelsea Piers Sports & Entertainment Complex,"23rd St. & Hudson River Park Manhattan, NY 10011, Chelsea",10011,40.7464969,-74.0094471
Chrysler Building,"405 Lexington Ave Manhattan, NY, Midtown East",10174,40.7517367,-73.9745547
Circle Line Downtown,"Pier 16 at S. St. Seaport Manhattan, NY 10038, Lower Manhattan",10038,40.7071498,-74.0021019
Circle Line Sightseeing Cruises,"Pier 83, 42nd St. and Twelfth Ave. Manhattan, NY 10036, Hells Kitchen",10036,40.7602619,-73.9932872
City Hall,"City Hall  Broadway and Murray St. Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
City Hall Park,"Broadway and Chambers St Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
Classic Harbor Line LLC,"Chelsea Piers, Pier 62 (22nd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,40.7464969,-74.0094471
Clove Lakes Park,"1150 Clove Rd. Staten Island, NY, Randall Manor",10301,40.6274394,-74.0946311
Coney Island Brewing Company,"1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Coney Island Circus Sideshow,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Delacorte Theate,"Mid-park at 80th St Manhattan, NY 10024, Central Park",10024,40.7859464,-73.97418739999999
Douglaston Golf Course,"6320 Marathon Pkwy Queens, NY 11363, Bayside",11363,40.7728635,-73.74484369999999
Duffy Square,"46th and Broadway  47th and 7th Avenue New York, NY, Times Square/Theatre District",10036,40.7602619,-73.9932872
Ellis Island,"New York Harbor Manhattan, NY 10004, Lower Manhattan",10004,40.7038704,-74.0138541
Ellis Island National Museum of Immigration,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,40.7038704,-74.0138541
Ellis Island/American Family Immigration History Center,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,40.7038704,-74.0138541
Empire State Building Experience,"350 Fifth Ave. Manhattan, NY 10118, Herald Square",10118,40.7464984,-73.984392
FDNY Fire Zone,"34 W. 51st St. Manhattan, NY 10020, Midtown West",10020,40.7605505,-73.98226830000002
Flatiron Building,"175 5th Ave Manhattan, NY, Flatiron District",10010,40.7388319,-73.98153370000001
Flushing Meadows Corona Park,"111th Street to Van Wyck Expressway Queens, NY 11375, Flushing",11375,40.7245678,-73.8457658
Fort Tryon Park,"Between Riverside Drive, Broadway, Dyckman Street and West 192nd Street New York, NY 10040, Washington Heights/Inwood",10040,40.8639624,-73.93304289999999
Governors Island,"Governors Island New York, NY 10004, Governors Island",10004,40.7038704,-74.0138541
Gramercy Park,"E 20th St to E 21st St bet Gramercy Park West and Gramercy Park East Manhattan, NY 10010, Gramercy",10010,40.7388319,-73.98153370000001
Grand Army Plaza,"Fifth Avenue and W 59th Street Manhattan, NY, Midtown East",10019,40.7686973,-73.9918181
Grand Army Plaza Memorial Arch,"Grand Army Plaza at Eastern Parkway Brooklyn, NY 11238, Prospect Heights",11238,40.6805029,-73.96243270000001
Grand Central Terminal,"15 Vanderbilt Ave., Hall 2A Manhattan, NY 10017, Midtown East",10017,40.7519846,-73.9697795
Green-Wood Cemetery,"500 25th St. Brooklyn, NY 11232, Sunset Park",11232,40.6560436,-74.0079781
Greenbelt Nature Center,"700 Rockland Ave Staten Island, NY 10314, New Dorp",10314,40.5952146,-74.1827119
Gulliver's Gate,"216 W. 44th St. Manhattan, NY 10036 Times Square/Theatre District",10036,40.7602619,-73.9932872
Hell Gate Bridge,"Hell gate bridge Manhattan, NY, South Bronx",11105,40.7787902,-73.9065883
Hershey's Chocolate World Times Square,"1593 Broadway Manhattan, NY 10019, Times Square/Theatre District",10019,40.7686973,-73.9918181
Historic Richmond Town,"441 Clarke Ave. Staten Island, NY 10306 Richmond Town",10306,40.5729336,-74.12986839999999
Holographic Studios,"240 E. 26th St. New York, NY 10010, Chelsea",10010,40.7388319,-73.98153370000001
Hunters Point Community Library,"47 Center Blvd. Queens, NY 11101",11101,40.7443091,-73.9418603
"Intrepid Sea, Air & Space Museum","Pier 86, Twelfth Ave. at 46th St. Manhattan, NY 10036, Hells Kitchen",10036,40.7602619,-73.9932872
Irish Hunger Memorial,"290 Vesey St Manhattan, NY 10281, Battery Park City",10281,40.7146,-74.015
Jacqueline Kennedy Onassis Reservoir,"Bet 86th and 96th Sts Manhattan, NY 10024, Central Park",10024,40.7859464,-73.97418739999999
James A. Farley Post Office,"421 Eighth Ave. Manhattan, NY 10001, Chelsea",10001,40.75368539999999,-73.9991637
Jane's Carousel,"Dock Street Brooklyn, NY 11201, DUMBO",11201,40.6986772,-73.9859414
Jazz at Lincoln Center,"Frederick P. Rose Hall, Broadway at 60th St. Manhattan, NY 10019, Upper West Side",10019,40.7686973,-73.9918181
Jeffrey's Hook Lighthouse,"Fort Washington Park Manhattan , NY 10033, Washington Heights/Inwood",10033,40.8557765,-73.9447994
Loeb Central Park Boathouse,"Central Park, enter at Fifth Ave. & 72nd St. Manhattan, NY 10028, Central Park",10028,40.77664120000001,-73.9521468
Luna Park at Coney Island,"1000 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Macy's Herald Square,"151 W. 34th St. Manhattan, NY 10001, Herald Square",10001,40.75368539999999,-73.9991637
Madison Square Garden,"2 Penn Plaza Manhattan, NY 10121, Midtown West",10121,40.7496,-73.9919
Mahayana Buddhist Temple,"133 Canal St Manhattan, NY 10002, Chinatown",10002,40.7135097,-73.9859414
McCarren Park,"Lorimer St. between Bayard St. and Driggs Ave. Brooklyn, NY, Williamsburg",11222,40.7282702,-73.9506774
Museum at Eldridge Street Synagogue,"12 Eldridge St. Manhattan, NY 10002, Lower East Side",10002,40.7135097,-73.9859414
Museum Mile,"Fifth Avenue Manhattan, NY, Upper East Side",10128,40.7826039,-73.9506774
Museum of American Finance,"48 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,40.7064363,-74.0094562
Mystery Room NYC,"365 Seventh Ave., fl. 2N Manhattan, NY 10001, Chelsea",10001,40.75368539999999,-73.9991637
National Geographic Encounter: Ocean Odyssey,"226 W. 44th St. Manhattan, NY 10036., Times Square/Theatre District",10036,40.7602619,-73.9932872
National Parks of New York Harbor,"Federal Hall National Memorial, 26 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,40.7064363,-74.0094562
New York Botanical Garden,"2900 Southern Blvd. Bronx, NY 10458, Bedford Park",10458,40.8621792,-73.88601
New York City FC,"Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx",10451,40.8187386,-73.9271644
New York Giants,"MetLife Stadium East Rutherford, NJ 07073, Not in New York City",07073,40.8136765,-74.0828839
New York Hall of Science,"47-01 111th St. Queens, NY 11368, Corona",11368,40.7506343,-73.8477874
New York Knicks,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,40.75368539999999,-73.9991637
"New York Public Library, Stephen A. Schwarzman Building","Fifth Ave. & 42nd St. Manhattan, NY 10018, Midtown West",10018,40.755322,-73.9932872
New York Rangers,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,40.75368539999999,-73.9991637
New York Transit Museum,"99 Schermerhorn St. Brooklyn, NY 11201, Brooklyn Heights",11201,40.6986772,-73.9859414
New York Wheel,"7 Penn Plaza, ste. 1705 New York, NY 10001, Staten Island",10001,40.75368539999999,-73.9991637
New York Yankees,"Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx",10451,40.8187386,-73.9271644
Official NYC Information Center at Macy's Herald Square,"151 W. 34th St. Manhattan, NY 10011, Midtown West",10011,40.7464969,-74.0094471
Old Stone House,"336 3rd St. Brooklyn, NY 11215, Park Slope",11215,40.6681669,-73.9800645
One World Observatory,"One World Trade Center, 285 Fulton St. 45 fl. ste. F Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
Parachute Jump,"Boardwalk W. (bet. W. 16th and W. 19th Sts.) Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Paradise Theater,"2403 Grand Concourse Bronx, NY 10468, Fordham",10468,40.8687887,-73.8977693
Pepsi-Cola Sign,"30-99 48th AvenueNew York, NY 11101, Long Island City",11101,40.7443091,-73.9418603
Plymouth Church of the Pilgrims,"75 Hicks St Brooklyn, NY 11201, Brooklyn Heights",11201,40.6986772,-73.9859414
Poe Park,"Grand Concourse and East 192nd Street Bronx, NY 10458, Fordham",10458,40.8621792,-73.88601
Prospect Park,"95 Prospect Park West Brooklyn , NY 11215, Park Slope",11215,40.6681669,-73.9800645
Prospect Park Audubon Center,"Prospect Park Brooklyn, NY 11225, Park Slope",11225,40.6648278,-73.9565551
Prospect Park Carousel,"Enter the park at Willink entrance (intersection of Empire, Ocean and Flatbush Aves.) Brooklyn, NY 11210, Park Slope",11210,40.6285158,-73.9447994
Prospect Park Lake,"Parkside and Ocean Avenues entrance Brooklyn, NY 11218, Park Slope",11218,40.6483744,-73.9800645
Prospect Park Litchfield Villa,"95 Prospect Park West Brooklyn, NY 11215, Park Slope",11215,40.6681669,-73.9800645
Prospect Park Zoo,"450 Flatbush Ave. Brooklyn, NY 11225, Crown Heights",11225,40.6648278,-73.9565551
Queens Museum,"New York City Building, Flushing Meadows Corona Park Queens, NY 11368, Flushing",11368,40.7506343,-73.8477874
Queens Zoo,"53-51 111th St. Queens, NY 11368, Flushing",11368,40.7506343,-73.8477874
Queensboro Bridge,"Ed Koch Queensboro Bridge, New York, NY 10044",10044,40.7573053,-73.9550857
Radio City Music Hall,"1260 Sixth Ave. Manhattan, NY 10020, Midtown West",10020,40.7605505,-73.98226830000002
Resorts World Casino New York City,"110-00 Rockaway Blvd. Queens, NY 11420, Jamaica",11420,40.6764003,-73.8124984
Ripley's Believe It or Not! Times Square,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Riverside Park,"Riverside Drive to Hudson River 72nd St. to St Clair Pl. New York, NY 10115, Upper West Side",10115,40.8108356,-73.96371839999999
Rockefeller Center,"45 Rockefeller Plaza Manhattan, NY 10111, Midtown West",10111,40.7592,-73.9778
Roosevelt Island,"591 Main St. Roosevelt Island, NY 10044, Roosevelt Island",10044,40.7573053,-73.9550857
Roundabout Theatre Company,"231 W. 39th St., ste. 1200 New York, NY 10018, Midtown West",10018,40.755322,-73.9932872
Sail the Park,"Kerbs Memorial Boathouse in Central Park (off Fifth Ave. btw. 72nd–76th Sts.) Manhattan, NY 10021, Central Park",10021,40.7700703,-73.9580246
Schomburg Center for Research in Black Culture,"515 Malcolm X Blvd. Manhattan, NY 10037, Harlem",10037,40.8140369,-73.9374517
SeaGlass Carousel,"The Battery Manhattan, NY 10004, Lower Manhattan",10004,40.7038704,-74.0138541
Seaport District NYC,"Pier 17, Fulton and Front Streets Manhattan, NY 10038, Lower Manhattan",10038,40.7071498,-74.0021019
"Sheep Meadow, Central Park","1802 65th St Transverse, New York, NY 10065",10065,40.7645239,-73.96243270000001
Sleep No More,"530 W. 27th St. Manhattan, NY 10001, Chelsea",10001,40.75368539999999,-73.9991637
Socrates Sculpture Park,"32-01 Sculpture Park at Broadway Queens, NY 11106, Long Island City",11106,40.7595044,-73.9271644
Solomon R. Guggenheim Museum,"1071 Fifth Ave. Manhattan, NY 10128, Upper East Side",10128,40.7826039,-73.9506774
South Street Seaport Museum,"Pier 16, South Street Seaport, South St. at the foot of John St.; office: 12 Fulton St. Manhattan, NY 10038, Lower Manhattan",10038,40.7071498,-74.0021019
Spirit of New York,"Pier 61, Chelsea Piers at W. 23rd St. & 12th Avenue Manhattan, NY 10011, Chelsea",10011,40.7464969,-74.0094471
St. Patrick's Cathedral,"Fifth Ave. btw. 50th-51st Sts. Manhattan, NY 10126, Midtown East",10126,45.03954179999999,7.670644299999998
St. Patrick’s Old Cathedra,"263 Mulberry St Manhattan, NY 10012, Nolita",10012,40.7250632,-73.9976946
St. Paul's Chapel,"209 Broadway Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
Staten Island Borough Hall,"10 Richmond Terrace Staten Island, NY 10301, St. George",10301,40.6274394,-74.0946311
Staten Island Ferry,"St. George Terminal, 1 Bay St. Staten Island, NY 10301, St. George",10301,40.6274394,-74.0946311
Staten Island September 11 Memorial,"St George Esplanade Staten Island, NY 10301, St. George",10301,40.6274394,-74.0946311
Staten Island Yankees,"Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301 St. George",10301,40.6274394,-74.0946311
Staten Island Zoo,"614 Broadway Staten Island, NY 10310, Staten Island",10310,40.6307451,-74.1181234
Statue of Liberty National Monument,"Liberty Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,40.7038704,-74.0138541
Strawberry Fields/Imagine Mosaic,"Bet 71st and 74th Sts on the Central Park West side Manhattan, NY 10023, Central Park",10023,40.7769059,-73.9800645
The Church of St. Luke in the Fields,"487 Hudson St Manhattan, NY 10014, West Village",10014,40.7366138,-74.0094471
The Cyclone,"834 Surf Ave Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
The Frick Collection,"1 E. 70th St. Manhattan, NY 10021 Upper East Side",10021,40.7700703,-73.9580246
The High Line,"Gansevoort Street to West 30th Street Manhattan, NY 10011, Meatpacking District",10011,40.7464969,-74.0094471
The Met Breuer,"945 Madison Ave. Manhattan, NY 10021, Upper East Side",10021,40.7700703,-73.9580246
The Met Cloisters,"Fort Tryon Park, 99 Margaret Corbin Dr. Manhattan, NY 10040, Washington Heights/Inwood",10040,40.8639624,-73.93304289999999
The Met Fifth Avenue,"Fifth Ave. at 82nd St. Manhattan, NY 10028 ,Upper East Side",10028,40.77664120000001,-73.9521468
The Metropolitan Opera,"Metropolitan Opera House at Lincoln Center Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
The Museum of Modern Art (MoMA),"11 W. 53rd St. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
The New York Chinese Scholar's Garden,"Snug Harbor Cultural Center & Botanical Garden, 1000 Richmond Terrace Staten Island, NY, Randall Manor",10301,40.6274394,-74.0946311
The New York Pass,"36 W. 44th St., ste. 1407 New York, NY 10036 Midtown West",10036,40.7602619,-73.9932872
The New-York Historical Society,"170 Central Park West Manhattan, NY 10024",10024,40.7859464,-73.97418739999999
The PIT,"123 E 24th St Manhattan, NY, Flatiron District",10010,40.7388319,-73.98153370000001
The Plaza Hotel,"Fifth Ave. at Central Park South Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
The Ride,"box office: inside The Gift Shop at 584 Eighth Ave. Manhattan, NY 10018, Garment District",10018,40.755322,-73.9932872
The Rink at Rockefeller Center,"One Rockefeller Plaza Manhattan, NY 10020, Midtown West",10020,40.7605505,-73.98226830000002
The Riverside Church New York City,"490 Riverside Dr. Manhattan, NY 10027, Morningside Heights",10027,40.8138912,-73.96243270000001
The Tenement Museum,"103 Orchard St. Manhattan, NY 10002, Lower East Side",10002,40.7135097,-73.9859414
The Thunderbolt,"W. 16th St. and the Boardwalk Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
The Tour at NBC Studios,"30 Rockefeller Plaza Manhattan, NY 10112, Midtown West",10112,40.7590788,-73.9795135
The Town Hall,"123 W. 43rd St. Manhattan, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Theodore Roosevelt Birthplace,"28 E. 20th St. Manhattan, NY 10003, Gramercy",10003,40.7322535,-73.9874105
Times Square,"Broadway Manhattan, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Top of the Rock Observation Deck,"30 Rockefeller Plaza Manhattan, NY 10112, Midtown West",10112,40.7590788,-73.9795135
Turtle Pond,"New York, NY 10024, Central Park",10024,40.7859464,-73.97418739999999
Underpenny Plane and Cast Iron Museum,"10-13 50th Ave. Queens, NY 11101, Long Island City",11101,40.7443091,-73.9418603
United Nations,"First Ave. at 46th St. Manhattan, NY 10017, Midtown East",10017,40.7519846,-73.9697795
United Palace House of Inspiration,"4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood",10033,40.8557765,-73.9447994
USTA Billie Jean King National Tennis Center,"Flushing Meadows Corona Park Queens, NY 11368, Flushing",11368,40.7506343,-73.8477874
Van Cortlandt House Museum,"Van Cortlandt Park, Broadway @ 246th St. Bronx, NY 10471, Fordham",10471,40.8971509,-73.9065883
Verrazano-Narrows Bridge,"Verrazano-Narrows Bridge, Staten Island, NY",11209,40.6212119,-74.03294989999999
Victorian Gardens Amusement Park (Central Park),"Wollman Rink in Central Park, enter park at 59th St. and Sixth Ave. Manhattan, NY 10065, Central Park",10065,40.7645239,-73.96243270000001
VR World NYC,"4 E. 34 St. Manhattan, NY 10022 Murray Hill",10022,40.7593941,-73.9697795
Wall Street,"Wall St. Manhattan, NY 10006, Lower Manhattan",10006,40.709329,-74.0131196
Washington Square Park,"W 4th St to Waverly Pl Manhattan, NY 10003, Greenwich Village",10003,40.7322535,-73.9874105
Waterfront at Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,40.7146,-74.015
