Tourist_Spot,Address,Zipcode,latitude,longitude
Wave Hill,"675 W. 252nd St. Bronx, NY 10471, Riverdale",10471,40.8971509,-73.9065883
Wildlife Conservation Society,"2300 Southern Blvd. Bronx, NY 10460, The Bronx",10460,40.841618,-73.8801301
Williamsburg Bridge,"Williamsburg, New York, NY 11104",11104,40.7448741,-73.91981609999999
Woodlawn Cemetery,"Webster Ave. & E. 233rd St.; second entrance: Jerome Ave. at Bainbridge Ave. Bronx, NY 10470, Woodlawn",10470,40.89907669999999,-73.86836970000002
World Trade Center Transportation Hub,"New York, NY, Lower Manhattan",10007,40.7136487,-74.0087126
Wyckoff Farmhouse Museum,"5816 Clarendon Rd. Brooklyn, NY 11203, Midwood",11203,40.6515882,-73.93304289999999
African Burial Ground National Monument,"290 Broadway Manhattan, NY 10007, Tribeca",10007,40.7136487,-74.0087126
Manhattan Bridge,"Enter at Bowery between Canal and Bayard Streets (Manhattan side) Manhattan, NY 10002, Manhattan",10002,40.7135097,-73.9859414
Conservatory Garden,"Fifth Ave and 105th St Manhattan, NY 10029, Central Park",10029,40.79164069999999,-73.9447994
Mount Vernon Hotel Museum & Garden,"421 E. 61st St. Manhattan, NY 10065, Upper East Side",10065,40.7645239,-73.96243270000001
St. George Theatre,"35 Hyatt St. Staten Island, NY 10301, St. George",10301,40.6274394,-74.0946311
Explorer Pass,"151 W 34th St, New York, NY 10001",10001,40.75368539999999,-73.9991637
Wollman Rink,"near 59th St. & Sixth Ave. within Central Park Manhattan, NY 10021, Central Park",10021,40.7700703,-73.9580246
Friedsam Memorial Carousel,"Mid-park at 64th St Manhattan, NY 10023, Central Park",10023,40.7769059,-73.9800645
Japan Society,"333 E. 47th St. Manhattan, NY 10017, Midtown East",10017,40.7519846,-73.9697795
FDNY Fire Zone Rockefeller Center ,"34 West 51st Street New York, NY 10020, Midtown West",10020,40.7605505,-73.98226830000002
TimeLooper`,"mail: 40 Harrison St., 3K New York, NY 10013",10013,40.7217861,-74.0094471
"On Location Tours, Inc.","Meeting Sites in Midtown Manhattan; mail: 555 Eighth Ave., ste. 2003 Manhattan, NY 10018, Times Square/Theatre District",10018,40.755322,-73.9932872
Snug Harbor Cultural Center & Botanical Garden,"1000 Richmond Terr. Staten Island, NY 10301",10301,40.6274394,-74.0946311
Voilà Chocolat,"221 W. 79th St. Manhattan, NY 10024, Upper West Side",10024,40.7859464,-73.97418739999999
Central Park Zoo,"830 Fifth Ave. (southeast corner of Central Park) Manhattan, NY 10021, Central Park",10021,40.7700703,-73.9580246
Asser Levy/Seaside Park,"W 5th St Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Woolworth Building,"233 Broadway New York, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,40.7146,-74.015
New York Mets,"Citi Field, 126th St. and Roosevelt Ave. Queens, NY 11368, Flushing",11368,40.7506343,-73.8477874
Onassis Cultural Center New York,"645 Fifth Ave. (enter on 51st St.) Manhattan, NY 10022, Midtown East",10022,40.7593941,-73.9697795
Official NYC Information Center–South Street Seaport,"Hornblower Cruises on the East River Waterfront Esplanade at Pier 15 Manhattan, NY 10038, Lower Manhattan",10038,40.7071498,-74.0021019
Fort Wadsworth,"210 New York Ave. Staten Island, NY 10305, Staten Island",10305,40.5944059,-74.0711359
Deno's Wonder Wheel Amusement Park,"3059 Denos Vourderis Place (W 12th St) Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Bethesda Terrace/Fountain,"Mid-park at 72nd St. New York, NY, Central Park",10021,40.7700703,-73.9580246
George Washington Bridge,"George Washington Bridge Manhattan, NY, Washington Heights/Inwood",07024,40.8562383,-73.96537150000002
The Public Theate,"425 Lafayette St. Manhattan, NY 10003, East Village",10003,40.7322535,-73.9874105
Washington Street between Front and Water Streets,"Brooklyn, NY 11205, DUMBO",11205,40.6945036,-73.9565551
Brooklyn Bridge Park,"334 Furman St. Brooklyn, NY 11201, DUMBO",11201,40.6986772,-73.9859414
Tompkins Square Park,"E 10th St, New York, NY 10009",10009,40.7275043,-73.9800645
Lincoln Center for the Performing Arts,"70 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
National Park Service,"c/o Statue of Liberty National Monument New York, NY 10004, Battery Park City",10004,40.7038704,-74.0138541
Belvedere Castle,"Central Park, midpark at 79th St Manhattan, NY, Central Park",10021,40.7700703,-73.9580246
Sunset Park,"Bet. Fifth and Seventh Aves. and 41st and 44th Sts. Brooklyn, NY 11220, Sunset Park",11220,40.6385229,-74.0153231
Official NYC Information Center (Times Square),"Broadway Plaza, between 43rd and 44th Streets New York, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Morris-Jumel Mansion,"65 Jumel Terr. Manhattan, NY 10032, Washington Heights/Inwood",10032,40.8409822,-73.9447994
Conservatory Water,"72nd to 75th Sts Manhattan, NY 10021 Central Park",10021,40.7700703,-73.9580246
Madame Tussauds New York,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Whitney Museum of American Art,"99 Gansevoort St. Manhattan, NY 10014, Meatpacking District",10014,40.7366138,-74.0094471
Coney Island History Project,"Deno's Wonder Wheel Amusement Park, 3059 W. 12th St. Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
United Palace Theatre,"4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood",10033,40.8557765,-73.9447994
Central Park,"Between Fifth Ave. and Central Park West Manhattan, NY 10024, Central Park",10024,40.7859464,-73.97418739999999
Bank of America Winter Village at Bryant Park,"Bryant Park, 42nd St. and 6th Ave. Manhattan, NY 10018, Midtown West",10018,40.755322,-73.9932872
New York City Ballet,"David H. Koch Theater, 20 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Museum of Sex,"233 Fifth Ave. Manhattan, NY 10016, NoMad",10016,40.74727,-73.9800645
Coney Island,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Unbreakable Kimmy Schmidt Apartment,"74 Freeman St. Brooklyn, NY 11222, Greenpoint",11222,40.7282702,-73.9506774
Bryant Park,"Sixth Ave. between 40th and 42nd Sts. Manhattan, NY Midtown West",10018,40.755322,-73.9932872
New York Rangers,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,40.75368539999999,-73.9991637
Citi Field,"126th St. and Roosevelt Ave. Flushing, NY 11368, Flushing",11368,40.7506343,-73.8477874
Queens Botanical Garden,"43-50 Main St. Queens, NY 11355, Flushing",11355,40.7493096,-73.8213213
Prospect Park Bandshell,"Prospect Park West Brooklyn, NY 11217, Park Slope",11217,40.6815619,-73.9785952
Prospect Park Concert Grove,"Parkside and Ocean Avenues entrance Brooklyn, NY 11225, Park Slope",11225,40.6648278,-73.9565551
The Mall and Literary Walk,"Mid-park bet 66th and 72nd Sts Manhattan, NY 10022, Central Park",10022,40.7593941,-73.9697795
IFC Center,"323 Sixth Ave. New York, NY 10014, West Village",10014,40.7366138,-74.0094471
Andrew Heiskell Braille and Talking Book Library,"40 W 20th St # 1 New York, NY 10011, Chelsea",10011,40.7464969,-74.0094471
Brooklyn Borough Hall,"209 Joralemon St Brooklyn, NY 11209, Downtown Brooklyn",11209,40.6212119,-74.03294989999999
New York Aquarium,"602 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Yankee Stadium,"1 E. 161st St. Bronx, NY 10451, South Bronx",10451,40.8187386,-73.9271644
High Bridge,"Amsterdam Avenue and West 172nd Street Manhattan, NY 10032, Washington Heights/Inwood",10032,40.8409822,-73.9447994
One World Trade Center,"1 World Trade Center Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
9/11 Memorial Museum Store,"20 Vesey St. Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
Madison Square Park,"23rd to 26th Sts. (bet. Fifth and Madison Aves.) Manhattan, NY 10010, Flatiron District",10010,40.7388319,-73.98153370000001
New York Philharmonic,"David Geffen Hall (formerly Avery Fisher), 10 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Gracie Mansion,"East End Ave Manhattan, NY 10128, Upper East Side",10128,40.7826039,-73.9506774
Trinity Wall Street,"Broadway at Wall St. Manhattan, NY 10006, Lower Manhattan",10006,40.709329,-74.0131196
Brooklyn Cyclones,"MCU Park, 1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
Bronx Zoo Treetop Adventure,"Bronx, NY 10460, Fordham",10460,40.841618,-73.8801301
West 4th Street Courts,"Sixth Ave. Manhattan, NY 10011, Greenwich Village",10011,40.7464969,-74.0094471
Staten Island Yankees,"Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301, St. George",10301,40.6274394,-74.0946311
Manhattan by Sail,"Locations: N. Cove Marina, Brookfield Place (Liberty St.–Hudson River), Manhattan 10007; ",10007,40.7136487,-74.0087126
Manhattan by Sail,"inside Battery Park at the Hudson River (enter across from 17 State St.) Manhattan, NY 10004, Battery Park City",10004,40.7038704,-74.0138541
Museum of American Finance,"48 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,40.7064363,-74.0094562
New York Stock Exchange,"11 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,40.7064363,-74.0094562
Hook & Ladder Company 8,"14 N. Moore St. Manhattan, NY 10013, Tribeca",10013,40.7217861,-74.0094471
Grand Masonic Lodge of New York,"71 W. 23rd St. Manhattan, NY 10010, Chelsea",10010,40.7388319,-73.98153370000001
St. Mark’s Place,"113 St Marks Pl, New York City, NY 10009-5161",10009,40.7275043,-73.9800645
Franklin D. Roosevelt Four Freedoms Park,"1 FDR Four Freedoms Park, E. Rd. S. of Rd. 3 Manhattan, NY 10044, Roosevelt Island",10044,40.7573053,-73.9550857
Gray Line CitySightseeing New York Bus Tours,"777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Abracadabra Superstore,"19 W 21st St Manhattan , NY 10010, Chelsea",10010,40.7388319,-73.98153370000001
Brooklyn Brewery,"79 N. 11th St. Brooklyn, NY 11211, Williamsburg",11211,40.7093358,-73.9565551
Kingsland Homestead,"143-35 37th Ave. Queens, NY 11354, Flushing",11354,40.7699016,-73.8272029
French Institute Alliance Française,"22 E. 60th St. Manhattan, NY 10022, Upper East Side",10022,40.7593941,-73.9697795
Commodore Barry Park,"Nassau Street (bet. Navy St. and N. Elliot Place) Brooklyn, NY 11201, Fort Greene",11201,40.6986772,-73.9859414
Saint Augustine's Episcopal Church,"290 Henry St Manhattan, NY 10002, Lower East Side",10002,40.7135097,-73.9859414
Casa Belvedere,"79 Howard Ave. Staten Island, NY 10301, St. George",10301,40.6274394,-74.0946311
Merchant's House Museum,"29 E. 4th St. Manhattan, NY 10003, Greenwich Village",10003,40.7322535,-73.9874105
Kissena Park,"164th St and Oak Ave Queens, NY 11358, Flushing",11358,40.76074300000001,-73.7977928
Alley Pond Park,"22806 Northern Blvd  Alley Pond Environmental Center Queens, NY 11363, Bayside",11363,40.7728635,-73.74484369999999
The Battery,"Enter on State Street or Battery Place Manhattan, NY 10004, Battery Park City",10004,40.7038704,-74.0138541
Emmanuel Baptist Church,"279 Lafayette Ave Brooklyn, NY 11238, Fort Greene",11238,40.6805029,-73.96243270000001
UNICEF House—Danny Kaye Visitors Centre,"3 U.N. Plaza, 44th St. btw. First & Second Aves. Manhattan, NY 10016, Midtown East",10016,40.74727,-73.9800645
St. Ann & The Holy Trinity Church,"157 Montague St Brooklyn, NY, Brooklyn Heights",11201,40.6986772,-73.9859414
Hoodwinked Escape,"151 W. 116th St. Manhattan, NY 10026, Harlem",10026,40.8032131,-73.95258249999999
Flatbush Dutch Reformed Church,"890 Flatbush Ave Brooklyn, NY 11226, Flatbush",11226,40.6470923,-73.9536163
Staten Island Supreme Courthouse,"18 Richmond Terrace Staten Island, NY 10301, St. George",10301,40.6274394,-74.0946311
Adam Yauch Park,"Atlantic Avenue at Columbia Place Brooklyn, NY 11201, Brooklyn Heights",11201,40.6986772,-73.9859414
Islamic Cultural Center of New York,"1711 3rd Avenue New York, NY 10029, Upper East Side",10029,40.79164069999999,-73.9447994
Roosevelt House Public Policy Institute at Hunter College,"47-49 E. 65th St. Manhattan, NY 10065, Upper East Side",10065,40.7645239,-73.96243270000001
Old Quaker Meeting House,"137-16 Northern Blvd. Queens, NY 11354, Flushing",11354,40.7699016,-73.8272029
Go Select NYC,"Official NYC Information Center, 810 Seventh Ave. Manhattan, NY 10019, Times Square/Theatre District",10019,40.7686973,-73.9918181
Weeksville Heritage Center,"158 Buffalo Ave Brooklyn, NY 11213 Bedford-Stuyvesant",11213,40.6722134,-73.93892129999999
The Sightseeing Pass,"777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Hudson Yards New York,"New York, NY 10001, Midtown West",10001,40.75368539999999,-73.9991637
Castle Clinton National Monument,"Castle Clinton National Monument, 17 Battery Pl. Manhattan, NY 10005-1996, Battery Park City",10005,40.7056,-74.0083
34th Street Partnership,"mail: 1065 Sixth Ave., ste. 2400 New York, NY 10018 , Midtown West",10018,40.755322,-73.9932872
General Grant National Memorial,"Riverside Dr and 122nd St Manhattan, NY 10027, Morningside Heights",10027,40.8138912,-73.96243270000001
"Pier 25, Hudson River Park","225 West St. Manhattan, NY 10013, Tribeca ",10013,40.7217861,-74.0094471
55 Central Park West,"55 Central Park West New York, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Sara D. Roosevelt Park,"East Houston Street to Canal Street (bet. Forsyth and Chrystie Sts.) Manhattan, NY 10002, Lower East Side",10002,40.7135097,-73.9859414
Central Park Arsenal,"East side of the park at Fifth Ave and 64th St Manhattan, NY 10065, Central Park",10065,40.7645239,-73.96243270000001
InterChurch Center,"475 Riverside Dr., rm. 253 Manhattan, NY 10115, Morningside Heights",10115,40.8108356,-73.96371839999999
Sakura Park,"W 122nd St and Riverside Dr Manhattan, NY 10027, Morningside Heights",10027,40.8138912,-73.96243270000001
Pelham Bay Park,"Bruckner Blvd and Westchester Ave Bronx, NY 10461, Pelham Bay",10461,40.8476284,-73.8360251
Hudson River Park,"West Side Highway, bet. Battery Place and W. 59th St. Manhattan, NY 10014, Manhattan",10014,40.7366138,-74.0094471
LIC Flea & Food,"5-25 46th Ave. Queens, NY 11101, Long Island City",11101,40.7443091,-73.9418603
Grant's Tomb,"Riverside Drive and West 122nd Street Manhattan, NY 10027, Morningside Heights",10027,40.8138912,-73.96243270000001
Gravesend Cemetery,"Ave V and Van Sicklen St Brooklyn, NY 11223, Gravesend",11223,40.6009233,-73.977126
Piers 92/94 New York,"711 Twelfth Ave. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
New York Marble Cemetery,"41 1/2 Second Ave Manhattan, NY 10003, Lower East Side",10003,40.7322535,-73.9874105
New York City AIDS Memorial,"200-218 West 12th Street New York, NY 10011, West Village",10011,40.7464969,-74.0094471
Peter Jay Sharp Theater at Julliard,"155 W. 65th St. Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Chester A. Arthur House,"123 Lexington Ave. Manhattan, NY 10016, Midtown East",10016,40.74727,-73.9800645
Chateau Stables,"608 W. 48th St. New York, NY 10036, Hells Kitchen",10036,40.7602619,-73.9932872
LIC Beer Project,"39-28 23rd Street NY 11101, Long Island City",11101,40.7443091,-73.9418603
Central Park's Rumsey Playfield,"14 E 71st St, New York, NY 10021",10021,40.7700703,-73.9580246
Christie’s Auction House,"20 Rockefeller Plaza New York, NY 10020, Midtown West",10020,40.7605505,-73.98226830000002
Lasker Rink,"830 5th Avenue New York, NY 10065, Central Park",10065,40.7645239,-73.96243270000001
Marble Collegiate Church,"1 W. 29th St. Manhattan, NY 10001, NoMad",10001,40.75368539999999,-73.9991637
Riverdale Park,"West 254 Street Bronx, NY 10463, Riverdale",10463,40.8803247,-73.9095279
Brooklyn Army Terminal,"140 58th St. Brooklyn, NY 11220, Sunset Park",11220,40.6385229,-74.0153231
NYC Department of Records and Information Services,"Visitor Center, 31 Chambers St., rm. 112 Manhattan, NY 10007, Lower Manhattan",10007,40.7136487,-74.0087126
City Ice Pavilion,"47-32 32nd Place Queens, NY 11101, Long Island City",11101,40.7443091,-73.9418603
Floyd Bennett Field,"50 Aviation Road Brooklyn, NY 11234, Brooklyn",11234,40.6007956,-73.9065883
69th Regiment Armory,"68 Lexington Ave Manhattan, NY Midtown East",10010,40.7388319,-73.98153370000001
Federal Hall National Memorial,"26 Wall St Manhattan, NY 10005, Lower Manhattan",10005,40.7064363,-74.0094562
Scandinavia House: The Nordic Center in America,"58 Park Ave. Manhattan, NY 10016, Murray Hill",10016,40.74727,-73.9800645
NYRR RunCenter Featuring the New Balance Run Hub,"320 W. 57th St. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
Bowling Green Park,"Broadway and Whitehall St Manhattan, NY 10004, Lower Manhattan",10004,40.7038704,-74.0138541
New York City Horse Carriages,"Pickup location: 59th St. btw. Fifth & Sixth Aves. opposite plaza hotel Manhattan, NY --, Central Park",10019,40.7686973,-73.9918181
New York Public Library for the Performing Arts,"40 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Empire Stores,"53-83 Water Street NY 11201, DUMBO",11201,40.6986772,-73.9859414
Central Park Bandshell,"Mid-park, 66th to 72nd Sts Manhattan, NY, Central Park",10019,40.7686973,-73.9918181
The Players Theatre,"115 Macdougal St. Manhattan, NY 10012, Greenwich Village",10012,40.7250632,-73.9976946
Lefferts Historic House,"452 Flatbush Ave, Brooklyn, NY 11225",11225,40.6648278,-73.9565551
Ford Amphitheater at Coney Island Boardwalk,"3052 W. 21st St. Brooklyn, NY 11224, Coney Island",11224,40.5749261,-73.9859414
MetLife Building,"200 Park Ave. Manhattan, NY 10166, Midtown East",10166,40.7541009,-73.9763266
Valentine-Varian House,"3266 Bainbridge Ave. Bronx, NY 10458, The Bronx",10458,40.8621792,-73.88601
Bronx Council on the Arts,"1738 Hone Ave. Bronx, NY 10461, The Bronx",10461,40.8476284,-73.8360251
NFL Experience Times Square,"20 Times Square, 701 Seventh Ave. Manhattan, NY 10036, Times Square/Theatre District",10036,40.7602619,-73.9932872
Randall's Island Park,"East and Harlem Rivers Manhattan, NY 10035, Randalls Island",10035,40.794065,-73.9271644
Ed Sullivan Theater,"1697 Broadway Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
Essex Street Market,"120 Essex St. Manhattan, NY 10002, Lower East Side",10002,40.7135097,-73.9859414
The Conference House Museum,"298 Satterlee St Staten Island, 10307, Tottenville",10307,40.5070853,-74.2443436
Pier 45,"Enter at Christopher St and the West Side Highway Manhattan, NY 10014, West Village",10014,40.7366138,-74.0094471
Riverbank State Park Ice Rink,"679 Riverside Dr. Manhattan, NY 10031, Harlem",10031,40.8270209,-73.9506774
American Stock Exchange Building,"86 Trinity Place New York, NY 10006, Lower Manhattan",10006,40.709329,-74.0131196
Pier 40,"353 West St Manhattan, NY 10014, Greenwich Village",10014,40.7366138,-74.0094471
Long Island City Partnership,"mail: 27-01 Queens Plaza North, 9th fl. Queens, NY 11101, Long Island City",11101,40.7443091,-73.9418603
"The Great Hall, Cooper Union","7 East 7th Street Manhattan, NY 10003, East Village",10003,40.7322535,-73.9874105
Czech Center New York,"321 E 73rd St Manhattan, NY, Upper East Side",10021,40.7700703,-73.9580246
The Malcolm X and Dr. Betty Shabazz Memorial & Educational Center,"3940 Broadway Manhattan, NY, Harlem",10032,40.8409822,-73.9447994
79th Street Boat Basin,"W 79th St and the Hudson River Manhattan, NY 10024, Upper West Side",10024,40.7859464,-73.97418739999999
New York City Center,"W. 55th St. betw. Sixth & Seventh Aves.; mail: 130 W. 56th St. Manhattan, NY 10019, Midtown West",10019,40.7686973,-73.9918181
Electric Lady Studios,"52 W 8th St New York, NY 10011 West Village",10011,40.7464969,-74.0094471
Harlem Park to Park,"mail: 134 W. 118th St., ground fl. Manhattan, NY 10026, Harlem",10026,40.8032131,-73.95258249999999
St. Bartholomew's Church,"325 Park Ave Manhattan, NY, Midtown East",10022,40.7593941,-73.9697795
Kissena Golf Course,"16415 Booth Memorial Ave Queens, NY 11365, Fresh Meadows",11365,40.7421943,-73.7889689
Riverside Park South,"Henry Hudson Parkway at W. 70th St. Manhattan, NY 10023, Upper West Side",10023,40.7769059,-73.9800645
Poets House,"10 River Terr. Manhattan, NY 10282, Battery Park City",10282,40.7167028,-74.0152027
